run_name,architecture,encoder,augmentation_type,epochs,batch_size,lr,best_epoch,best_val_dice,best_val_loss,notes
unet_r34_256_noaug_e10,unet,resnet34,noaug,10,8,0.0001,10,0.8439,0.2805,
unet_r50_256_noaug_e10,unet,resnet50,noaug,10,8,0.0001,10,0.8465,0.2739,
unet_effb0_256_noaug_e10,unet,efficientnet-b0,noaug,10,8,0.0001,10,0.8471,0.2749,
unet_effb3_256_noaug_e10,unet,efficientnet-b3,noaug,10,8,0.0001,9,0.8516,0.2689,
unet_mobilenetv2_256_noaug_e10,unet,mobilenet_v2,noaug,10,8,0.0001,9,0.842,0.289,
fpn_r34_256_noaug_e10,fpn,resnet34,noaug,10,8,0.0001,6,0.8383,0.2934,
fpn_r50_256_noaug_e10,fpn,resnet50,noaug,10,8,0.0001,9,0.8434,0.2879,
fpn_effb0_256_noaug_e10,fpn,efficientnet-b0,noaug,10,8,0.0001,8,0.8437,0.2889,
fpn_effb3_256_noaug_e10,fpn,efficientnet-b3,noaug,10,8,0.0001,7,0.8501,0.2717,
fpn_mobilenetv2_256_noaug_e10,fpn,mobilenet_v2,noaug,10,8,0.0001,9,0.841,0.2965,
deeplabv3p_r50_256_noaug_e10,deeplabv3plus,resnet50,noaug,10,8,0.0001,8,0.8412,0.2887,
deeplabv3p_effb0_256_noaug_e10,deeplabv3plus,efficientnet-b0,noaug,10,8,0.0001,10,0.8407,0.2836,
deeplabv3p_effb3_256_noaug_e10,deeplabv3plus,efficientnet-b3,noaug,10,8,0.0001,9,0.8501,0.2756,
deeplabv3p_mobilenetv2_256_noaug_e10,deeplabv3plus,mobilenet_v2,noaug,10,8,0.0001,9,0.8384,0.2962,
